full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/guardsarm-manager/data/store/schema/allowed-fields/0,guardsarm-manager,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/data/store/schema/engine-schema,guardsarm-manager,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/data/store/schema/engine-schema/0,guardsarm-manager,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/data/store/schema/guardsarm-logpar-overrides,guardsarm-manager,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/data/store/schema/guardsarm-logpar-overrides/0,guardsarm-manager,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/data/tzdb,guardsarm-manager,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/data/tzdb/iana,guardsarm-manager,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/data/tzdb/iana/*,guardsarm-manager,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/tmp,root,guardsarm-manager,1770,directory,drwxrwx--T,,
/var/guardsarm-manager/var,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/var/db,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/var/db/mitre.db,root,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/var/download,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/var/multigroups,guardsarm-manager,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/var/run,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/var/upgrade,root,guardsarm-manager,770,directory,drwxrwx---,,
